# Accelerometer Data File
# Started @Tue Jun 13 17:39:34 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-6.313 0.423 14.3 2
-6.334 0.455 14.437 3
-6.222 0.644 14.521 2
-5.956 0.701 14.609 3
-5.736 0.785 14.501 2
-5.781 0.814 14.374 3
-5.827 0.919 14.224 2
-5.977 0.919 13.991 3
-6.27 0.965 13.67 2
-6.571 1.013 13.151 3
-6.95 1.104 12.906 2
-7.132 0.996 12.595 3
-7.261 0.845 12.264 2
-7.525 0.747 12.078 3
-7.695 0.759 11.888 2
-7.98 0.708 11.508 3
-8.214 0.713 11.256 2
-8.444 0.74 10.959 3
-8.677 0.764 10.82 2
-8.77 0.711 10.643 3
-8.983 0.665 10.382 2
-9.175 0.665 10.027 3
-9.22 0.764 9.745 2
-9.309 0.716 9.527 3
-9.12 0.764 9.127 2
-8.844 0.764 8.729 3
-8.602 0.749 8.411 2
-8.344 0.778 8.025 3
-8.131 0.828 7.467 2
-7.893 0.888 7.046 3
-7.556 0.941 6.821 3
-7.11 0.929 6.377 2
-6.679 0.943 5.987 3
-6.294 0.989 5.532 2
-5.932 1.013 5.192 3
-5.867 1.022 4.811 2
-5.637 1.101 4.251 3
-5.534 1.233 4.109 2
-5.458 1.257 3.638 3
-5.542 1.293 3.393 2
-5.508 1.384 3.257 3
-5.407 1.415 3.017 2
-5.403 1.374 2.914 3
-5.357 1.482 2.878 2
-5.506 1.556 2.785 3
-5.601 1.647 2.708 2
-5.534 1.851 2.593 3
-5.63 1.887 2.483 2
-5.522 2.064 2.435 3
-5.4 2.224 2.483 2
-5.192 2.32 2.617 3
-5.142 2.476 2.725 2
-4.933 2.687 2.766 3
-4.507 2.936 2.584 2
-4.32 2.977 2.347 3
-4.054 3.089 2.306 2
-3.717 3.072 2.371 3
-3.312 3.23 2.395 2
-2.909 3.305 2.636 3
-2.325 3.302 2.933 2
-1.808 3.264 3.278 3
-1.362 3.264 3.367 2
-0.766 3.285 3.678 3
-0.392 3.29 3.836 2
0.217 3.357 3.987 3
0.603 3.41 4.188 2
1.044 3.57 4.325 3
1.602 3.87 3.966 2
2.002 4.078 3.858 3
2.33 4.358 3.724 2
2.363 4.72 3.853 3
2.395 5.07 3.518 2
2.265 5.228 3.12 3
2.136 5.477 2.682 2
1.966 5.69 2.014 3
1.599 5.812 1.801 3
1.228 6.198 1.46 2
1.008 6.31 1.06 3
0.843 6.423 0.785 2
0.637 6.49 0.656 3
0.347 6.67 0.457 2
0.146 6.507 0.289 3
0.625 5.41 0.359 2
0.035 5.513 1.099 3
-0.653 5.254 0.943 2
-1.245 5.307 1.647 3
-2.256 5.17 4.469 2
-4.375 5.211 8.55 3
-8.078 5.726 12.684 2
-10.406 6.217 13.507 3
-9.936 6.236 11.417 2
-8.66 5.944 8.782 3
-7.819 5.69 6.861 2
-7.422 5.324 6.21 3
-7.331 5.223 6.078 2
-7.704 5.233 6.634 3
-8.339 5.225 7.098 2
-9.115 5.328 7.381 3
-9.759 5.259 7.779 2
-10.166 5.031 7.628 3
-10.233 4.608 7.225 2
-9.984 4.126 6.998 3
-9.395 3.575 6.562 2
-8.978 3.091 6.229 3
-8.562 2.694 6.255 2
-8.293 2.416 6.03 3
-8.085 2.33 5.918 2
-8.059 2.035 6.658 3
-8.178 2.023 6.401 2
-8.049 2.045 6.67 3
-7.958 2.021 6.888 2
-7.968 2.155 7.117 3
-7.944 2.253 7.046 2
-8.085 2.438 7.129 3
-8.375 2.62 7.232 2
-8.751 3.012 7.129 3
-9.211 3.187 6.969 2
-9.745 3.391 6.799 3
-9.946 3.441 6.617 2
-10.236 3.331 6.423 3
-10.363 3.135 6.191 2
-10.562 2.792 6.028 3
-10.657 2.677 5.855 2
-10.693 2.416 5.752 3
-10.756 2.294 5.599 3
-10.784 2.117 5.295 2
-10.727 1.925 5.273 3
-10.684 1.765 5.079 2
-10.353 1.82 4.988 3
-10.13 1.638 4.849 2
-9.721 1.578 4.96 3
-9.419 1.422 4.933 2
-9.129 1.439 4.818 3
-8.741 1.451 4.881 2
-8.325 1.336 4.871 3
-8.078 1.257 4.825 2
-7.949 1.163 4.916 3
-7.891 1.216 4.881 2
-7.937 1.274 4.828 3
-7.932 1.228 4.794 2
-7.915 1.35 4.658 3
-7.711 1.487 4.533 2
-7.618 1.595 4.097 3
-7.556 1.76 3.839 2
-7.597 1.92 3.611 3
-7.68 2.16 3.384 2
-7.635 2.486 3.326 3
-7.779 2.874 3.297 2
-7.721 3.108 3.341 3
-7.412 3.436 3.585 2
-7.232 3.611 3.877 3
-6.988 3.846 4.255 2
-6.667 4.097 4.44 3
-6.49 4.09 4.622 2
-6.423 4.1 4.928 3
-6.37 4.188 4.95 2
-6.464 4.313 4.869 3
-6.638 4.349 5.019 2
-6.701 4.342 4.823 3
-6.694 4.26 4.631 2
-6.631 4.198 4.277 3
-6.473 4.109 3.935 2
-6.421 4.006 3.508 3
-6.298 3.769 3.168 2
-6.33 3.626 2.888 3
-6.385 3.362 2.775 2
-6.339 3.108 2.778 3
-6.279 2.902 2.682 2
-6.526 2.696 2.423 3
-6.528 2.747 2.287 2
-6.54 2.783 2.155 3
-6.761 2.794 1.932 3
-6.904 2.768 1.702 2
-7.223 2.792 1.65 3
-7.424 2.814 1.614 2
-7.723 2.783 1.815 3
-7.982 2.905 1.937 2
-8.212 3.01 2.007 3
-8.504 3.084 2.244 2
-8.557 3.367 2.26 3
-8.792 3.484 2.512 2
-9.043 3.707 2.593 3
-9.438 3.738 2.893 2
-9.929 3.913 3.417 3
-10.375 3.999 3.65 2
-10.796 4.229 4.064 3
-11.134 4.435 4.437 2
-11.445 4.706 4.804 3
-11.601 4.96 5.118 2
-11.601 5.149 5.386 3
-11.357 5.216 5.585 2
-11.043 5.233 5.664 3
-10.595 5.24 5.647 2
-10.188 5.285 5.676 3
-9.685 5.225 5.537 2
-9.22 5.254 5.494 3
-8.801 5.206 5.379 2
-8.612 5.245 5.11 3
-8.401 5.372 4.89 2
-8.186 5.475 4.675 3
-8.2 5.537 4.629 2
-8.428 5.752 4.574 3
-8.626 5.745 4.378 2
-8.911 5.788 4.406 3
-9.096 5.879 4.279 2
-9.168 5.942 4.169 3
-9.115 6.131 4.073 2
-8.84 6.159 3.808 3
-8.851 6.229 3.4 2
-8.866 6.418 3.06 3
-8.856 6.538 2.828 2
-9.101 6.672 2.735 3
-9.247 6.701 2.658 2
-9.508 6.88 2.624 3
-9.829 6.902 2.675 2
-10.003 6.902 2.988 3
-10.114 6.852 3.07 3
-10.236 6.84 3.218 2
-10.368 6.878 3.307 3
-10.339 6.832 3.511 2
-10.356 6.744 3.499 3
-10.303 6.672 3.353 2
-10.217 6.708 3.309 3
-10.286 6.653 3.226 2
-10.243 6.588 3.259 3
-10.327 6.562 3.259 2
-10.38 6.38 3.386 3
-10.312 6.365 3.527 2
-10.339 6.507 3.652 3
-10.463 6.631 3.652 2
-10.389 6.667 3.642 3
-10.284 6.861 3.53 2
-10.049 6.935 3.362 3
-9.74 7.144 2.948 2
-9.455 7.209 2.768 3
-9.299 7.343 2.5 2
-9.093 7.58 2.371 3
-9.012 7.75 2.433 2
-8.775 7.877 2.493 3
-8.483 8.123 2.04 2
-7.896 8.365 -0.716 3
-7.513 8.665 -1.123 2
-7.144 8.432 -2.653 3
-6.737 8.698 -2.783 2
-6.2 8.552 -2.665 3
-6.018 8.705 -2.33 2
-5.918 8.741 -1.475 3
-6.092 8.727 -0.479 2
-6.265 8.777 0.718 3
-6.466 8.578 1.441 2
-6.718 8.423 2.313 3
-6.744 8.231 3.115 2
-6.849 8.006 3.805 3
-6.902 7.925 4.351 2
-7.079 7.896 5.113 3
-7.398 7.893 5.448 2
-7.453 7.889 5.738 3
-7.46 7.934 5.817 2
-7.652 8.023 5.798 3
-7.692 8.09 5.712 2
-7.762 8.258 5.439 3
-7.8 8.332 5.063 2
-7.846 8.392 4.746 3
-7.774 8.337 4.493 3
-7.738 8.377 4.258 2
-7.723 8.454 4.078 3
-7.496 8.648 4.069 2
-7.201 8.962 3.92 3
-6.892 9.127 4.028 2
-6.653 9.235 4.229 3
-6.485 9.374 4.404 2
-6.2 9.469 4.593 3
-5.961 9.551 4.528 2
-5.788 9.51 4.114 3
-5.573 9.489 3.384 2
-5.544 9.453 2.677 3
-5.841 9.599 2.418 2
-5.589 9.45 2.129 3
-5.898 9.457 2.404 2
-5.798 9.266 2.325 3
-6.018 9.026 2.682 2
-6.107 8.691 2.864 3
-6.294 8.43 3.537 2
-6.44 8.071 4.107 3
-6.48 7.879 4.493 2
-6.634 7.934 4.998 3
-6.5 7.661 4.957 2
-6.583 7.58 4.972 3
-6.483 7.237 4.481 2
-6.456 7.019 4.107 3
-6.444 6.694 3.829 2
-6.708 6.483 3.436 3
-6.888 6.131 3.254 2
-7.022 5.918 3.101 3
-7.254 5.716 3.106 2
-7.477 5.542 3.137 3
-7.695 5.498 3.297 2
-7.745 5.41 3.369 3
-7.707 5.352 3.331 2
-7.834 5.281 3.295 3
-8.037 5.343 3.173 2
-8.258 5.482 2.919 3
-8.602 5.508 2.821 2
-8.986 5.642 2.651 3
-9.177 5.74 2.545 2
-9.225 5.843 2.639 3
-9.105 5.968 2.632 2
-8.947 5.958 2.61 3
-8.808 5.927 2.84 3
-8.526 5.783 2.775 2
-8.246 5.508 2.603 3
-8.032 5.283 2.426 2
-7.896 5.01 2.337 3
-7.654 4.84 2.093 2
-7.467 4.679 1.518 3
-7.12 4.476 1.142 2
-6.801 4.5 0.74 3
-6.6 4.368 0.213 2
-6.38 4.394 -0.337 3
-6.274 4.464 -0.68 2
-6.169 4.517 -0.902 3
-6.186 4.619 -0.996 2
-6.131 4.732 -1.19 3
-5.863 4.907 -1.152 2
-5.69 5.046 -1.147 3
-5.578 5.23 -1.056 2
-5.616 5.419 -0.67 3
-5.743 5.654 -0.526 2
-5.918 6.001 -0.143 3
-6.047 6.411 0.122 2
-6.258 6.84 0.416 3
-6.404 7.355 0.819 2
-6.615 7.855 1.049 3
-6.741 8.145 1.506 2
-6.832 8.37 1.801 3
-7.043 8.545 2.16 2
-7.209 8.531 2.16 3
-7.352 8.531 2.093 2
-7.704 8.384 2.066 3
-8.104 8.315 2.196 2
-8.408 8.14 2.433 3
-8.828 8.159 2.565 2
-9.024 8.219 2.914 3
-9.249 8.255 2.931 2
-9.228 8.329 3.01 3
-9.326 8.198 3.008 2
-9.225 8.052 2.711 3
-9.019 8.054 2.668 2
-8.873 7.946 2.5 3
-8.729 7.903 2.514 2
-8.612 7.927 2.581 3
-8.341 8.107 2.725 2
-8.341 8.406 2.974 3
-8.181 9.738 4.469 2
-7.925 9.661 4.026 3
-7.769 9.505 3.479 3
-7.776 9.287 3.202 2
-7.565 9.273 2.737 3
-7.295 9.192 2.088 2
-7.137 9.189 1.317 3
-6.971 9.113 0.687 2
-7.117 9.225 0.366 3
-7.261 9.352 0.162 2
-7.328 9.517 0.483 3
-7.084 9.692 0.958 2
-6.895 9.829 1.798 3
-6.73 9.953 2.589 2
-6.679 9.996 3.163 3
-6.322 9.819 3.269 2
-6.191 9.647 3.223 3
-6.054 9.412 3.197 2
-5.942 9.206 3.099 3
-6.045 9.002 2.804 2
-5.968 8.837 2.636 3
-5.87 8.598 2.466 2
-5.508 8.293 2.054 3
-5.372 8.114 1.81 2
-5.271 7.963 1.623 3
-5.436 7.975 1.841 2
-5.3 8.044 2.102 3
-5.446 8.19 2.014 2
