# Accelerometer Data File
# Started @Tue Jun 13 17:30:27 GMT+01:00 2017
#
#
# sensor Vendor: Bosch
# sensor Name: BMI160 accelerometer
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.977 7.714 7.86 3
-1.252 7.479 8.164 2
-0.986 7.359 8.595 3
-0.495 7.175 9.065 2
0.313 7.082 9.295 3
0.898 7.235 9.172 2
1.161 7.379 8.674 3
1.207 7.549 7.597 2
1.398 7.822 6.727 3
1.947 7.956 5.707 2
2.502 7.946 4.809 3
3.096 7.774 4.016 3
3.659 7.62 3.659 2
4.03 7.525 3.226 3
4.191 7.383 3.168 2
4.464 7.228 3.209 3
4.555 7.127 3.408 2
4.608 7.261 3.985 3
4.847 7.635 4.485 2
4.481 7.482 5.218 3
4.378 7.292 5.958 2
4.378 7.139 6.224 3
3.999 6.832 6.337 2
3.978 6.492 6.859 3
3.772 6.284 7.235 2
3.661 6.179 7.51 3
3.309 5.987 7.606 2
3.202 5.894 7.462 3
2.931 5.817 7.28 3
2.732 5.822 7.17 2
2.459 5.676 6.878 3
2.155 5.645 6.397 2
2.124 5.609 6.164 3
2.059 5.532 5.767 2
2.155 5.508 5.352 3
2.119 5.446 4.969 2
2.138 5.372 4.55 3
2.215 5.324 4.255 2
2.143 5.312 4.054 3
2.227 5.3 3.901 2
2.44 5.079 3.733 3
2.665 4.967 3.712 2
2.914 4.701 3.762 3
3.41 4.579 3.506 2
4.004 4.411 2.227 3
3.908 4.126 3.178 3
4.004 4.023 4.088 2
4.033 3.7 4.83 3
4.167 3.547 5.29 2
4.368 3.384 5.606 3
4.509 3.18 5.379 2
4.725 2.56 5.175 3
4.816 2.462 4.368 2
4.986 2.656 4.255 3
4.79 3.168 3.915 2
4.938 3.556 3.877 3
4.845 3.549 3.944 2
4.711 3.518 4.143 3
4.588 3.444 4.267 2
4.251 3.319 4.552 3
3.944 3.42 4.437 2
3.748 3.41 4.411 3
3.46 3.458 4.248 3
3.159 3.561 4.203 2
3.034 3.621 4.222 3
3.017 3.762 4.157 2
3.412 4.327 4.009 3
3.091 4.38 4.143 2
2.802 4.495 4.232 3
2.909 4.641 4.5 2
3.13 4.864 4.066 3
2.929 5.01 4.105 2
2.696 5.07 3.901 3
2.61 5.197 3.752 2
2.474 5.194 3.499 3
2.395 5.137 3.403 2
2.507 5.185 3.273 3
2.783 4.921 3.135 2
3.254 4.864 2.936 3
3.659 4.734 2.874 3
4.26 4.485 2.943 2
4.655 4.406 2.948 3
4.969 4.346 3.044 2
5.113 4.325 3.238 3
4.914 4.39 3.305 2
4.787 4.37 3.707 3
4.447 4.382 4.205 2
4.102 4.373 4.744 3
3.733 4.246 5.288 2
3.458 4.129 5.954 3
3.42 4.009 6.459 2
3.525 3.872 6.679 3
3.628 3.853 6.741 2
3.844 3.793 6.852 3
3.832 3.855 6.569 2
3.935 3.987 6.516 3
4.073 4.208 6.15 3
4.016 4.485 5.855 2
4.038 4.66 5.494 3
3.927 4.821 5.441 2
3.901 4.873 5.367 3
3.872 5.007 5.522 2
3.75 5.087 5.482 3
3.925 5.015 5.7 2
3.899 5.19 5.882 3
3.975 5.225 6.155 2
4.04 5.395 6.246 3
4.117 5.53 6.433 2
4.021 5.791 6.433 3
3.944 5.973 6.991 2
3.92 6.145 7.249 3
3.793 6.243 7.532 2
3.853 6.258 7.91 3
3.82 6.234 8.054 3
3.901 6.188 8.035 2
3.958 6.126 7.707 3
4.093 5.937 7.422 2
4.169 5.68 7.101 3
4.366 5.539 6.789 2
4.562 5.331 6.322 3
4.495 5.163 5.87 2
4.512 4.991 5.326 3
4.624 5.029 4.969 2
4.581 4.967 4.502 3
4.593 4.988 4.026 2
4.519 4.861 3.87 3
4.835 4.996 3.894 2
4.758 5.185 3.966 3
4.442 5.118 4.131 2
4.109 5.103 4.167 3
3.915 5.098 4.222 3
3.434 5.067 4.169 2
3.13 5.019 4.239 3
3.058 4.967 4.337 2
2.933 4.768 4.564 3
3.02 4.631 4.802 2
3.108 4.495 5.087 3
3.42 4.521 5.288 2
3.568 4.699 5.29 3
3.436 4.981 5.376 2
3.935 5.29 5.362 3
4.078 5.63 5.321 2
4.217 6.128 5.273 3
4.375 6.488 5.467 2
4.629 6.804 5.654 3
4.706 7.173 5.817 2
4.869 7.379 5.93 3
5.178 7.666 5.951 3
5.345 8.059 5.977 2
5.501 8.183 6.066 3
5.645 8.38 6.394 2
5.812 8.622 6.591 3
5.925 8.61 6.828 2
6.011 8.646 7.225 3
6.1 8.54 7.582 2
5.958 8.545 7.996 3
5.843 8.456 8.262 2
5.604 8.509 8.461 3
5.302 8.509 8.492 2
4.888 8.612 8.758 3
4.569 8.636 8.851 2
4.184 8.794 8.801 3
3.817 8.732 8.734 2
3.714 8.77 8.703 3
3.542 8.933 8.657 3
3.376 8.897 8.897 2
3.115 8.811 8.653 3
2.859 8.926 8.504 2
2.864 8.686 8.384 3
2.826 8.758 8.298 2
2.941 8.693 8.286 3
2.893 8.722 8.353 2
2.919 8.698 8.483 3
2.988 8.751 8.66 2
2.95 8.792 8.952 3
3.132 8.775 9.014 2
3.218 8.705 9.218 3
3.357 8.612 9.326 2
3.463 8.507 9.278 3
3.673 8.533 9.225 2
3.875 8.382 9.122 3
4.097 8.43 8.84 2
4.318 8.334 8.514 3
4.641 8.286 8.071 3
4.78 8.14 7.707 2
5.07 7.941 7.508 3
5.245 7.8 7.285 2
5.295 7.723 7.122 3
5.51 7.649 6.916 2
5.685 7.491 6.967 3
5.695 7.501 6.914 2
5.839 7.472 7.115 3
5.863 7.376 7.137 2
5.987 7.223 7.17 3
5.839 7.163 7.309 2
5.733 7.101 7.618 3
5.558 7.091 7.692 2
5.51 7.24 7.819 3
5.417 7.431 7.795 2
5.36 7.551 8.097 3
5.477 7.738 8.353 3
5.345 7.759 8.452 2
5.166 7.661 8.425 3
5.084 7.544 8.547 2
5.132 7.134 8.418 3
5.369 7.062 8.356 2
5.494 6.801 7.882 3
5.486 6.782 7.798 2
5.417 6.828 7.587 3
5.575 6.866 7.288 2
5.733 6.943 7.17 3
5.671 7.194 6.957 2
5.69 7.314 7.197 3
5.647 7.477 7.125 2
5.635 7.68 7.259 3
5.515 7.757 7.541 2
5.386 7.994 7.577 3
5.324 8.121 7.688 3
5.314 8.099 7.884 2
5.312 8.037 8.157 3
5.4 7.951 8.401 2
5.568 7.87 8.828 3
5.733 7.779 9.235 2
5.846 7.709 9.378 3
5.987 7.57 9.529 2
6.097 7.532 9.618 3
6.174 7.369 9.663 2
6.425 7.388 9.594 3
6.619 7.479 9.481 2
6.914 7.4 9.326 3
6.995 7.434 9.005 2
6.967 7.458 8.583 3
7.022 7.52 8.423 2
6.94 7.527 8.246 3
7.058 7.664 8.167 3
6.926 7.8 8.143 2
6.986 7.795 8.408 3
7.031 7.925 8.832 2
7.201 7.949 9.12 3
7.379 8.064 9.316 2
7.63 8.159 9.635 3
7.994 8.272 9.759 2
8.351 8.497 9.853 3
8.784 8.614 9.996 2
9.352 8.717 9.877 3
9.726 8.808 9.874 2
10.159 8.914 9.802 3
10.427 8.806 9.752 2
10.617 8.801 9.857 3
10.806 8.576 9.922 2
10.964 8.399 9.903 3
11.223 8.234 9.984 3
11.807 8.121 9.987 2
12.329 8.193 9.805 3
12.813 8.145 9.695 2
13.337 8.145 9.529 3
13.524 8.262 9.319 2
13.591 8.248 9.007 3
13.541 8.258 8.756 2
13.313 8.212 8.571 3
12.928 8.31 8.08 2
12.578 8.32 7.4 3
12.2 8.411 6.708 2
11.723 8.408 5.882 3
11.503 8.308 5.07 2
11.043 8.301 4.258 3
10.574 8.262 4.023 2
10.15 8.241 3.654 3
9.479 8.84 3.685 3
9.218 8.71 4.021 2
8.737 8.485 4.411 3
8.416 8.15 4.564 2
8.162 7.838 4.895 3
8.013 7.496 4.95 2
8.068 7.194 4.988 3
8.001 6.964 4.976 2
8.116 6.797 4.943 3
8.023 6.591 4.804 2
7.874 6.44 4.916 3
7.616 6.373 4.957 2
7.412 6.272 5.139 3
7.302 6.301 5.067 2
7.106 6.205 5.094 3
6.854 6.045 5.065 2
6.627 5.836 5.108 3
6.502 5.649 4.928 3
6.576 5.403 4.763 2
6.689 5.144 4.567 3
6.782 5.127 4.399 2
6.971 4.79 4.301 3
7.249 4.631 4.232 2
7.522 4.524 4.131 3
7.807 4.265 4.176 2
8.001 4.124 4.052 3
8.147 3.887 3.69 2
8.155 3.695 3.412 3
8.344 3.666 3.06 2
8.334 3.374 2.785 3
8.425 3.142 2.56 2
8.301 3.034 2.248 3
8.083 2.936 2.078 2
8.037 2.816 1.69 3
8.013 2.708 1.472 3
7.886 2.773 1.257 2
7.735 2.771 0.989 3
7.608 2.718 0.895 2
7.393 2.874 0.802 3
7.079 2.775 1.041 2
7.259 2.414 1.245 3
7.295 2.493 1.87 2
7.187 2.244 1.731 3
6.947 2.466 1.676 2
6.555 2.656 1.813 3
6.416 2.914 2.016 2
6.272 3.072 2.292 3
6.248 3.379 2.718 2
6.241 3.472 3.123 3
6.334 3.556 3.714 2
6.346 3.597 4.306 3
6.411 3.638 5.206 3
6.404 3.592 5.551 2
6.377 3.446 6.133 3
6.543 3.439 6.679 2
6.543 3.415 7.022 3
6.756 3.353 7.247 2
6.935 3.271 7.41 3
6.952 3.408 7.132 2
7.058 3.494 6.718 3
6.983 3.844 5.867 2
6.598 3.915 5.041 3
6.255 4.011 4.143 2
6.215 3.997 3.815 3
6.246 3.903 3.925 2
6.543 3.482 4.418 3
7.417 2.914 5.252 2
8.557 2.447 6.468 3
9.709 1.913 7.51 3
10.377 1.729 8.248 2
10.535 1.738 8.052 3
10.456 1.506 7.606 2
10.116 1.508 6.732 3
9.601 1.427 5.771 2
9.261 1.243 4.77 3
8.921 1.293 3.762 2
8.557 1.24 2.897 3
8.253 1.125 2.133 2
7.917 1.06 1.559 3
7.683 0.869 1.391 2
7.424 0.543 1.211 3
7.328 0.464 1.238 2
7.101 0.148 1.453 3
7.271 0.028 1.695 2
7.474 -0.098 2.136 3
7.644 -0.119 2.454 3
7.922 -0.098 2.881 2
8.226 -0.191 2.984 3
8.478 -0.126 3.091 2
8.772 -0.059 2.909 3
9.007 -0.179 2.715 2
9.069 -0.117 2.541 3
9.194 -0.055 2.383 2
9.247 0.079 2.339 3
9.323 0.15 2.359 2
9.388 0.215 2.244 3
9.278 0.344 2.354 2
9.364 0.546 2.68 3
9.455 0.692 2.797 2
9.577 0.809 2.859 3
9.534 0.993 3.185 2
9.687 1.101 3.262 3
9.627 0.993 3.412 3
9.577 1.101 3.487 2
9.577 1.056 3.599 3
9.568 1.046 3.932 2
9.453 1.266 3.87 3
9.359 1.243 3.769 2
9.18 1.53 3.863 3
9.297 1.666 3.858 2
9.436 1.786 3.817 3
9.319 1.834 3.978 2
9.093 1.87 3.927 3
9.077 1.918 4.112 2
8.978 1.954 4.22 3
8.789 1.951 4.473 2
8.794 1.995 4.519 3
8.713 2.004 4.725 2
8.784 1.995 4.885 3
8.875 1.997 4.9 3
8.897 1.949 5.039 2
9.148 1.829 4.967 3
9.273 1.714 4.916 2
9.465 1.738 4.718 3
9.491 1.654 4.488 2
9.486 1.64 4.255 3
9.501 1.508 4.143 2
9.493 1.518 4.105 3
9.388 1.611 4.102 2
9.393 1.556 4.303 3
9.383 1.487 4.33 2
9.503 1.25 4.612 3
9.429 1.245 4.694 2
9.556 1.089 4.976 3
9.671 0.958 4.813 2
9.795 0.847 4.926 3
9.944 0.701 4.854 3
10.02 0.62 4.821 2
10.001 0.555 4.495 3
9.903 0.524 3.985 2
9.649 0.625 3.7 3
9.613 0.591 3.297 2
9.352 0.804 2.943 3
9.184 0.974 2.826 2
8.919 1.125 2.773 3
8.84 1.458 2.967 2
8.638 1.64 3.156 3
8.492 1.813 3.604 2
8.756 1.81 4.138 3
8.76 1.999 4.701 2
8.95 1.973 5.211 3
8.89 1.951 5.606 2
8.969 2.129 6.004 3
8.969 2.232 6.234 3
8.744 2.311 6.409 2
8.646 2.32 6.574 3
8.653 2.234 6.701 2
8.636 2.114 6.71 3
8.495 2.045 6.732 2
8.337 1.925 6.528 3
8.205 1.719 6.466 2
7.431 2.692 6.234 3
7.235 3.47 5.992 2
7.668 2.816 5.853 3
7.958 2.423 5.781 2
8.068 2.292 5.57 3
7.994 2.404 5.381 2
7.589 3.439 5.082 3
7.556 3.056 5.178 2
7.177 3.194 5.122 3
6.873 3.221 5.089 3
6.732 3.412 5.06 2
6.895 3.729 5.024 3
6.856 3.736 5.175 2
7.084 3.896 5.34 3
7.153 4.002 5.635 2
7.101 4.121 5.736 3
7.158 4.157 5.982 2
7.302 4.186 6.174 3
7.249 4.39 6.251 2
7.106 4.488 6.356 3
7.036 4.528 6.464 2
6.847 4.473 6.413 3
